day,hour,camera,arena,infection.status,track,distance.traveled.pixels,tot.distance.cm,frames,minutes.moving,minutes.staying,speed.cmxmin,tot.distance.m,seconds.moving,speed.mxsec,speed.cmxsec
day 4,hour 2,cam 4,arena 16,infected,2,22356.62974,591.52,13470,60.1,0,9.8,5.9152,450.5016722,0.01,1.31
day 4,hour 2,cam 4,arena 16,control,3,21509.96759,569.12,13450,60,0.1,9.5,5.6912,449.8327759,0.01,1.27
day 4,hour 2,cam 4,arena 16,control,4,23201.54204,613.87,13437,59.9,0.1,10.2,6.1387,449.3979933,0.01,1.37
day 5,hour 2,cam 1,arena 17,infected,1,9794.108054,259.14,6438,28.7,31.1,9,2.5914,215.3177258,0.01,1.2
day 5,hour 2,cam 1,arena 17,infected,2,27956.69171,739.69,13408,59.8,0,12.4,7.3969,448.4280936,0.02,1.65
day 5,hour 2,cam 1,arena 17,control,3,71067.19387,1880.32,13354,59.5,0.2,31.6,18.8032,446.6220736,0.04,4.21
day 5,hour 2,cam 1,arena 17,control,4,26092.59993,690.37,13382,59.7,0.1,11.6,6.9037,447.5585284,0.02,1.54
day 5,hour 2,cam 2,arena 18,infected,1,2616.445436,69.23,2375,10.6,49.4,6.5,0.6923,79.43143813,0.01,0.87
day 5,hour 2,cam 2,arena 18,infected,2,19375.45845,512.64,13442,59.9,0,8.6,5.1264,449.5652174,0.01,1.14
day 5,hour 2,cam 2,arena 18,control,3,6549.941485,173.3,5207,23.2,36.7,7.5,1.733,174.1471572,0.01,1
day 5,hour 2,cam 2,arena 18,control,4,4514.340677,119.44,4487,20,39.9,6,1.1944,150.0668896,0.01,0.8
day 5,hour 2,cam 3,arena 19,infected,1,25004.8404,661.59,13310,59.4,0,11.1,6.6159,445.1505017,0.01,1.49
day 5,hour 2,cam 3,arena 19,infected,2,23308.16623,616.7,13019,58.1,1.3,10.6,6.167,435.4180602,0.01,1.42
day 5,hour 2,cam 3,arena 19,control,3,26453.50503,699.92,12322,54.9,4.4,12.7,6.9992,412.1070234,0.02,1.7
day 5,hour 2,cam 3,arena 19,control,4,21576.11716,570.87,13299,59.3,0,9.6,5.7087,444.7826087,0.01,1.28
day 5,hour 2,cam 4,arena 20,infected,1,24454.30038,647.02,13290,59.3,0.6,10.9,6.4702,444.4816054,0.01,1.46
